420;555
565;575
95;260
560;365
845;655
345;750
760;650
660;180
1320;315
1220;580
1605;620
1215;245
580;1175
520;585
510;875
525;1000
685;610
605;625
25;230
685;595
1250;400
945;685
725;370
555;815
835;625
650;1130
1340;725
1465;200
480;415
1170;65
1530;5
595;360
1150;1160
875;920
845;680
475;960
145;665
575;665
720;635
700;580
880;660
25;185
415;635
1740;245
770;610
830;485
300;465
410;250
975;580
700;500
795;645
830;610

pop. size;100
prob. mut.;0,1
prob. cross.;0,7
selection method;2
percentage of mutation;0,05
elite preserved;10
