1170;65
725;370
650;1130
510;875
520;585
830;485
145;665
25;185
415;635
475;960
525;1000
25;230
700;500
565;575
830;610
580;1175
880;660
1250;400
95;260
300;465
480;415
1530;5
560;365
410;250
555;815
795;645
1215;245
1465;200
1340;725
345;750
720;635
660;180
835;625
1740;245
605;625
770;610
1220;580
845;655
685;595
420;555
760;650
685;610
700;580
845;680
875;920
1605;620
1320;315
1150;1160
575;665
975;580
945;685
595;360

pop. size;100
prob. mut.;0,1
prob. cross.;0,7
selection method;1
tournament size;4
percentage of mutation;0,05
elite preserved;10
