345;750
480;415
650;1130
1250;400
420;555
25;185
700;500
945;685
1215;245
95;260
145;665
1320;315
595;360
475;960
795;645
845;680
25;230
770;610
660;180
565;575
1150;1160
1740;245
415;635
300;465
685;595
845;655
880;660
830;485
1170;65
1605;620
580;1175
510;875
1530;5
560;365
410;250
700;580
830;610
520;585
605;625
975;580
575;665
555;815
1465;200
725;370
685;610
760;650
720;635
875;920
845;655
525;1000
1220;580
835;625

pop. size;100
prob. mut.;0,1
prob. cross.;0,7
selection method;2
percentage of mutation;0,05
elite preserved;10
