565;575
25;185
510;875
760;650
945;685
1605;620
1220;580
410;250
25;230
95;260
300;465
145;665
415;635
345;750
580;1175
475;960
525;1000
650;1130
1150;1160
875;920
845;680
835;625
830;610
725;370
660;180
1170;65
1215;245
1250;400
1320;315
1465;200
1530;5
1740;245
1340;725
975;580
880;660
845;655
795;645
770;610
720;635
685;610
685;595
700;580
830;485
700;500
595;360
560;365
480;415
420;555
520;585
575;665
605;625
565;575

pop. size;100
prob. mut.;0,1
prob. cross.;0,7
selection method;2
percentage of mutation;0,05
elite preserved;10
