1530;5
1465;200
845;655
560;365
945;685
410;250
525;1000
595;360
830;610
1340;725
145;665
475;960
760;650
845;680
700;580
975;580
770;610
520;585
565;575
685;610
1170;65
1215;245
480;415
510;875
880;660
685;595
795;645
95;260
830;485
875;920
660;180
1320;315
1250;400
300;465
1605;620
555;815
720;635
650;1130
580;1175
345;750
415;635
575;665
25;185
835;625
725;370
1150;1160
25;230
605;625
420;555
1220;580
1740;245
700;500

pop. size;100
prob. mut.;0,1
prob. cross.;0,7
selection method;2
percentage of mutation;0,05
elite preserved;10
