945;685
845;680
1220;580
720;635
345;750
510;875
415;635
875;920
575;665
1340;725
685;595
685;610
300;465
1320;315
1215;245
1465;200
25;230
145;665
1740;245
700;580
25;185
95;260
410;250
725;370
1530;5
525;1000
580;1175
760;650
700;500
595;360
475;960
830;485
1170;65
560;365
480;415
845;655
1150;1160
555;815
520;585
565;575
830;610
605;625
770;610
650;1130
420;555
660;180
880;660
835;625
975;580
795;645
1250;400
1605;620

pop. size;100
prob. mut.;0,1
prob. cross.;0,7
selection method;1
tournament size;4
percentage of mutation;0,05
elite preserved;0
