25;230
580;1175
520;585
345;750
845;680
1220;580
1250;400
1170;65
525;1000
725;370
25;185
975;580
660;180
510;875
145;665
845;655
575;665
415;635
700;500
830;610
1215;245
1320;315
830;485
1530;5
835;625
685;610
560;365
685;595
475;960
880;660
1150;1160
1740;245
875;920
565;575
420;555
945;685
720;635
595;360
650;1130
1465;200
1605;620
1340;725
760;650
770;610
700;580
795;645
300;465
480;415
95;260
410;250
605;625
555;815

pop. size;100
prob. mut.;0,1
prob. cross.;0,7
selection method;1
tournament size;4
percentage of mutation;0,05
elite preserved;0
